"lat","lng","status","date","type","color"
"-11.994391966919","-76.821594853247","CERRADO","2021-08-14 15:33:07","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-12.052237796071","-77.013504491522","CERRADO","2021-08-14 19:51:40","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-12.112343306581","-77.050346966756","CERRADO","2021-08-15 02:00:57","RESCATE / ACANTILADO / CON ACCESO INFERIOR","#FFD600"
"-12.058062826435","-77.055365094377","CERRADO","2021-08-15 10:11:02","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-12.063141835596","-77.018730553885","CERRADO","2021-08-15 09:13:34","ACCIDENTE VEHICULAR / PARTICULAR / AUTOMOVIL","#E65100"
"-12.21602457859","-76.941680679667","CERRADO","2021-08-15 12:12:49","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-11.959428052184","-77.076078954482","CERRADO","2021-08-15 20:13:19","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-12.012019651057","-77.068035488077","CERRADO","2021-08-16 05:39:50","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-12.142696594635","-76.941864367327","CERRADO","2021-08-16 15:46:42","INCENDIO / OTROS / CHIMENEA","#D32F2F"
"-12.123373413894","-77.017621020316","CERRADO","2021-08-16 17:03:54","INCENDIO / TERRENO BALDIO","#D32F2F"
"-12.051851161194","-77.139978493243","CERRADO","2021-08-16 17:42:34","ACCIDENTE VEHICULAR / PARTICULAR / AUTOMOVIL","#E65100"
"-11.97806452024","-77.060619935552","CERRADO","2021-08-16 23:59:39","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-12.06009251609","-77.136257731747","CERRADO","2021-08-17 01:45:27","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-12.046417347591","-77.050663009677","CERRADO","2021-08-17 04:12:00","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-12.053744252763","-77.134663731604","CERRADO","2021-08-17 03:33:46","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-12.180116977624","-76.948690831384","CERRADO","2021-08-17 14:59:52","INCENDIO / ESTRUCTURAS / VIVIENDA / MATERIAL NOBLE","#D32F2F"
"-5.64","-77.06","ATENDIENDO","2023-11-30 02:49:17","SISMO","#CC0000"
"-8.34","-80.18","ATENDIENDO","2023-11-30 04:53:01","SISMO","#CC0000"
"-8.61","-77.63","ATENDIENDO","2023-11-30 20:28:20","SISMO","#CC0000"
"-12.53","-76.65","ATENDIENDO","2023-11-30 22:26:57","SISMO","#CC0000"
"-15.72","-72","ATENDIENDO","2023-12-01 10:13:26","SISMO","#CC0000"
"-16.35","-72.35","ATENDIENDO","2023-12-01 16:02:47","SISMO","#CC0000"
"-16.61","-71.56","ATENDIENDO","2023-12-01 17:54:50","SISMO","#CC0000"
"-10.39","-70.66","ATENDIENDO","2023-12-02 02:23:17","SISMO","#CC0000"
"-19.28","-69.45","ATENDIENDO","2023-12-02 07:55:40","SISMO","#CC0000"
"-3.22","-76.83","ATENDIENDO","2023-12-02 08:09:07","SISMO","#CC0000"
"-15.67","-71.71","ATENDIENDO","2023-12-02 22:50:17","SISMO","#CC0000"
"-16.45","-72.43","ATENDIENDO","2023-12-04 11:19:11","SISMO","#CC0000"
"-4.25","-81.04","ATENDIENDO","2023-12-04 17:59:27","SISMO","#CC0000"
"-10.97","-78.26","ATENDIENDO","2023-12-05 01:12:32","SISMO","#CC0000"
"-15.97","-72.98","ATENDIENDO","2023-12-05 14:03:55","SISMO","#CC0000"
"-16.02","-74.59","ATENDIENDO","2023-12-05 17:46:35","SISMO","#CC0000"
"-16.8","-71.62","ATENDIENDO","2023-12-05 19:04:57","SISMO","#CC0000"
"-14.87","-76.61","ATENDIENDO","2023-12-06 07:06:20","SISMO","#CC0000"
"-18.51","-69.92","ATENDIENDO","2023-12-06 16:11:09","SISMO","#CC0000"
"-16.03","-74.33","ATENDIENDO","2023-12-07 02:11:50","SISMO","#CC0000"
"-4.27","-77.48","ATENDIENDO","2023-12-07 04:54:51","SISMO","#CC0000"
"-12.66","-76.84","ATENDIENDO","2023-12-08 05:06:48","SISMO","#CC0000"
"-10.31","-75.32","ATENDIENDO","2023-12-08 12:17:16","SISMO","#CC0000"
"-11.03","-73.94","ATENDIENDO","2023-12-08 21:38:03","SISMO","#CC0000"
"-3.57","-80.42","ATENDIENDO","2023-12-09 04:27:53","SISMO","#CC0000"
"-14.36","-76.58","ATENDIENDO","2023-12-10 03:38:19","SISMO","#CC0000"
"-14.39","-76.63","ATENDIENDO","2023-12-10 07:35:12","SISMO","#CC0000"
"-14.39","-76.51","ATENDIENDO","2023-12-10 11:40:30","SISMO","#CC0000"
"-14.39","-76.67","ATENDIENDO","2023-12-10 11:52:46","SISMO","#CC0000"
"-14.41","-76.57","ATENDIENDO","2023-12-10 12:14:12","SISMO","#CC0000"
"-14.35","-76.52","ATENDIENDO","2023-12-10 15:43:28","SISMO","#CC0000"
"-15.34","-72.02","ATENDIENDO","2023-12-10 16:10:51","SISMO","#CC0000"
"-14.34","-76.55","ATENDIENDO","2023-12-10 18:17:45","SISMO","#CC0000"
"-16.13","-71.66","ATENDIENDO","2023-12-11 20:12:53","SISMO","#CC0000"
"-11.56","-76.64","ATENDIENDO","2023-12-13 07:38:49","SISMO","#CC0000"
"-8.33","-76.27","ATENDIENDO","2023-12-13 11:56:47","SISMO","#CC0000"
"-7.1","-79.38","ATENDIENDO","2023-12-13 22:32:18","SISMO","#CC0000"
"-16.8","-71.34","ATENDIENDO","2023-12-14 01:51:29","SISMO","#CC0000"
"-16.73","-71.18","ATENDIENDO","2023-12-14 01:53:58","SISMO","#CC0000"
"-15.21","-75.9","ATENDIENDO","2023-12-14 07:21:44","SISMO","#CC0000"
"-16.4","-74.03","ATENDIENDO","2023-12-14 09:44:36","SISMO","#CC0000"
"-14.45","-76.49","ATENDIENDO","2023-12-14 15:55:50","SISMO","#CC0000"
